archive_member,isic_id,extension,file_size_bytes,image_format,width,height,mode,readable,error
ISIC_0024306.jpg,ISIC_0024306,.jpg,25247,JPEG,600,450,RGB,True,
ISIC_0024307.jpg,ISIC_0024307,.jpg,25066,JPEG,600,450,RGB,True,
ISIC_0024308.jpg,ISIC_0024308,.jpg,31404,JPEG,600,450,RGB,True,
ISIC_0024309.jpg,ISIC_0024309,.jpg,23751,JPEG,600,450,RGB,True,
ISIC_0024310.jpg,ISIC_0024310,.jpg,41120,JPEG,600,450,RGB,True,
ISIC_0024311.jpg,ISIC_0024311,.jpg,24590,JPEG,600,450,RGB,True,
ISIC_0024312.jpg,ISIC_0024312,.jpg,25730,JPEG,600,450,RGB,True,
ISIC_0024313.jpg,ISIC_0024313,.jpg,24395,JPEG,600,450,RGB,True,
ISIC_0024314.jpg,ISIC_0024314,.jpg,25026,JPEG,600,450,RGB,True,
ISIC_0024315.jpg,ISIC_0024315,.jpg,30003,JPEG,600,450,RGB,True,
ISIC_0024316.jpg,ISIC_0024316,.jpg,28203,JPEG,600,450,RGB,True,
ISIC_0024317.jpg,ISIC_0024317,.jpg,28270,JPEG,600,450,RGB,True,
ISIC_0024318.jpg,ISIC_0024318,.jpg,29105,JPEG,600,450,RGB,True,
ISIC_0024319.jpg,ISIC_0024319,.jpg,31474,JPEG,600,450,RGB,True,
ISIC_0024320.jpg,ISIC_0024320,.jpg,37798,JPEG,600,450,RGB,True,
ISIC_0024321.jpg,ISIC_0024321,.jpg,22927,JPEG,600,450,RGB,True,
ISIC_0024322.jpg,ISIC_0024322,.jpg,27705,JPEG,600,450,RGB,True,
ISIC_0024323.jpg,ISIC_0024323,.jpg,31609,JPEG,600,450,RGB,True,
ISIC_0024324.jpg,ISIC_0024324,.jpg,21231,JPEG,600,450,RGB,True,
ISIC_0024325.jpg,ISIC_0024325,.jpg,26997,JPEG,600,450,RGB,True,
ISIC_0024326.jpg,ISIC_0024326,.jpg,25954,JPEG,600,450,RGB,True,
ISIC_0024327.jpg,ISIC_0024327,.jpg,33862,JPEG,600,450,RGB,True,
ISIC_0024328.jpg,ISIC_0024328,.jpg,35840,JPEG,600,450,RGB,True,
ISIC_0024329.jpg,ISIC_0024329,.jpg,22066,JPEG,600,450,RGB,True,
ISIC_0024330.jpg,ISIC_0024330,.jpg,20457,JPEG,600,450,RGB,True,
ISIC_0024331.jpg,ISIC_0024331,.jpg,24804,JPEG,600,450,RGB,True,
ISIC_0024332.jpg,ISIC_0024332,.jpg,27149,JPEG,600,450,RGB,True,
ISIC_0024333.jpg,ISIC_0024333,.jpg,33935,JPEG,600,450,RGB,True,
ISIC_0024334.jpg,ISIC_0024334,.jpg,23174,JPEG,600,450,RGB,True,
ISIC_0024335.jpg,ISIC_0024335,.jpg,21068,JPEG,600,450,RGB,True,
ISIC_0024336.jpg,ISIC_0024336,.jpg,27618,JPEG,600,450,RGB,True,
ISIC_0024337.jpg,ISIC_0024337,.jpg,22077,JPEG,600,450,RGB,True,
ISIC_0024338.jpg,ISIC_0024338,.jpg,23104,JPEG,600,450,RGB,True,
ISIC_0024339.jpg,ISIC_0024339,.jpg,20850,JPEG,600,450,RGB,True,
ISIC_0024340.jpg,ISIC_0024340,.jpg,21290,JPEG,600,450,RGB,True,
ISIC_0024341.jpg,ISIC_0024341,.jpg,24707,JPEG,600,450,RGB,True,
ISIC_0024342.jpg,ISIC_0024342,.jpg,28434,JPEG,600,450,RGB,True,
ISIC_0024343.jpg,ISIC_0024343,.jpg,28736,JPEG,600,450,RGB,True,
ISIC_0024344.jpg,ISIC_0024344,.jpg,31172,JPEG,600,450,RGB,True,
ISIC_0024345.jpg,ISIC_0024345,.jpg,25350,JPEG,600,450,RGB,True,
ISIC_0024346.jpg,ISIC_0024346,.jpg,22142,JPEG,600,450,RGB,True,
ISIC_0024347.jpg,ISIC_0024347,.jpg,18755,JPEG,600,450,RGB,True,
ISIC_0024348.jpg,ISIC_0024348,.jpg,31222,JPEG,600,450,RGB,True,
ISIC_0024349.jpg,ISIC_0024349,.jpg,31590,JPEG,600,450,RGB,True,
ISIC_0024350.jpg,ISIC_0024350,.jpg,22444,JPEG,600,450,RGB,True,
ISIC_0024351.jpg,ISIC_0024351,.jpg,23841,JPEG,600,450,RGB,True,
ISIC_0024352.jpg,ISIC_0024352,.jpg,16772,JPEG,600,450,RGB,True,
ISIC_0024353.jpg,ISIC_0024353,.jpg,19771,JPEG,600,450,RGB,True,
ISIC_0024354.jpg,ISIC_0024354,.jpg,19024,JPEG,600,450,RGB,True,
ISIC_0024355.jpg,ISIC_0024355,.jpg,25791,JPEG,600,450,RGB,True,
ISIC_0024356.jpg,ISIC_0024356,.jpg,18089,JPEG,600,450,RGB,True,
ISIC_0024357.jpg,ISIC_0024357,.jpg,30147,JPEG,600,450,RGB,True,
ISIC_0024358.jpg,ISIC_0024358,.jpg,27403,JPEG,600,450,RGB,True,
ISIC_0024359.jpg,ISIC_0024359,.jpg,31691,JPEG,600,450,RGB,True,
