CustomerID,Cluster,Segment,Customer Profit,Segment Churn Rate,Segment Discount Rate,Constructed CLV,Predicted CLV,Residual
17795,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13016,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
29159,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
28659,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
28663,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
26040,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25981,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25995,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
26013,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17184,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
29281,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17214,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25393,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25363,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25361,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25287,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25061,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25048,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25104,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25100,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25095,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25094,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25892,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25883,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25875,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
25864,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15116,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15095,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15093,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15085,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15064,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
29149,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
28798,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
28802,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16549,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21191,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21189,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21179,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21205,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21211,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21257,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21230,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21229,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21216,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
21166,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16589,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16594,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16531,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16552,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
28766,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17183,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17790,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17792,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17753,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17793,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17889,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17798,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17813,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17815,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
17828,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
28836,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
28834,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
28850,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15357,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14539,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14944,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13086,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13424,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13420,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14791,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15932,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13067,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13066,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13063,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13057,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13056,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13039,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13093,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13088,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13087,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13085,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13435,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16329,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16324,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13032,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
12981,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
12950,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
12941,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
12935,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16305,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
12929,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
12926,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
12921,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
12918,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
16278,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13425,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13450,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
23348,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13230,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15004,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
15003,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14998,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13274,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13329,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13314,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13299,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13287,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13246,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13142,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14779,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13176,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14719,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14716,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14802,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
14714,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
13221,6,Declining Frequent Buyers,924.5636,0.0,0.01,93380.9236,93380.9236,0.0
