rho,y,potential,electric_field_rho,electric_field_y,electric_field_magnitude
0.0,0.0,0.0,-0.0,-0.0,0.0
0.0125,0.0,0.0,-0.0,-0.0,0.0
0.025,0.0,0.0,-0.0,-0.0,0.0
0.037500000000000006,0.0,0.0,-0.0,-0.0,0.0
0.05,0.0,0.0,-0.0,-0.0,0.0
0.0625,0.0,0.0,-0.0,-0.0,0.0
0.07500000000000001,0.0,0.0,-0.0,-0.0,0.0
0.08750000000000001,0.0,0.0,-0.0,-0.0,0.0
0.1,0.0,0.0,-0.0,-0.0,0.0
0.1125,0.0,0.0,-0.0,-0.0,0.0
0.125,0.0,0.0,-40.0,-4.421189767950759,40.24359475698254
0.1375,0.0,1.0,-40.0,71.50865006450199,81.93587147304531
0.15000000000000002,0.0,1.0,8.881784197001252e-15,49.010539152843094,49.010539152843094
0.1625,0.0,0.9999999999999998,-0.0,38.05582672035137,38.05582672035137
0.17500000000000002,0.0,1.0,-8.881784197001252e-15,32.584521127385486,32.584521127385486
0.1875,0.0,1.0,-0.0,28.27888073352415,28.27888073352415
0.2,0.0,1.0,-0.0,24.79073300799216,24.79073300799216
0.21250000000000002,0.0,1.0,-0.0,21.900885857479903,21.900885857479903
0.225,0.0,1.0,-0.0,19.487785653032862,19.487785653032862
0.23750000000000002,0.0,1.0,-0.0,17.447039673231377,17.447039673231377
0.25,0.0,1.0,4.440892098500626e-15,15.703647443696525,15.703647443696525
0.2625,0.0,0.9999999999999999,-0.0,14.204340653794578,14.204340653794578
0.275,0.0,1.0,-4.440892098500626e-15,12.902642677964472,12.902642677964472
0.28750000000000003,0.0,1.0,-0.0,11.775716998321975,11.775716998321975
0.30000000000000004,0.0,1.0,-0.0,10.776091081419104,10.776091081419104
0.3125,0.0,1.0,4.440892098500626e-15,9.897882781393317,9.897882781393317
0.325,0.0,0.9999999999999999,-0.0,9.125722714790243,9.125722714790243
0.3375,0.0,1.0,-4.440892098500626e-15,8.429041827382186,8.429041827382186
0.35000000000000003,0.0,1.0,-0.0,7.8020554907378,7.8020554907378
0.36250000000000004,0.0,1.0,-0.0,7.244713044779765,7.244713044779765
0.375,0.0,1.0,-0.0,6.7494955027682835,6.7494955027682835
0.3875,0.0,1.0,-0.0,6.298313020835522,6.298313020835522
0.4,0.0,1.0,4.440892098500626e-15,5.878002953484128,5.878002953484128
0.41250000000000003,0.0,0.9999999999999999,-0.0,5.504734238129984,5.504734238129984
0.42500000000000004,0.0,1.0,4.440892098500626e-15,5.1717142578064355,5.1717142578064355
0.4375,0.0,0.9999999999999998,-0.0,4.846370128337568,4.846370128337568
0.45,0.0,1.0,-4.440892098500626e-15,4.55139058295552,4.55139058295552
0.4625,0.0,0.9999999999999999,-0.0,4.299384246517889,4.299384246517889
0.47500000000000003,0.0,1.0,-4.440892098500626e-15,4.0470276589792675,4.0470276589792675
0.48750000000000004,0.0,1.0,-0.0,3.80619837577035,3.80619837577035
0.5,0.0,1.0,4.440892098500626e-15,3.60730974157471,3.60730974157471
0.5125000000000001,0.0,0.9999999999999999,4.440892098500626e-15,3.4233395119863346,3.4233395119863346
0.525,0.0,0.9999999999999999,-4.440892098500626e-15,3.227351533802725,3.227351533802725
0.5375,0.0,1.0,-4.440892098500626e-15,3.0565821040608796,3.0565821040608796
0.55,0.0,1.0,8.881784197001252e-15,2.91574599182934,2.91574599182934
0.5625,0.0,0.9999999999999998,-0.0,2.7555564410874496,2.7555564410874496
0.5750000000000001,0.0,1.0,-8.881784197001252e-15,2.627471670254465,2.627471670254465
0.5875,0.0,1.0,-0.0,2.499033881921619,2.499033881921619
0.6000000000000001,0.0,1.0,-0.0,2.379762629561448,2.379762629561448
0.6125,0.0,1.0,-0.0,2.2656337800497255,2.2656337800497255
0.625,0.0,1.0,-0.0,2.161589871144308,2.161589871144308
0.6375000000000001,0.0,1.0,4.440892098500626e-15,2.061957888054529,2.061957888054529
0.65,0.0,0.9999999999999999,4.440892098500626e-15,1.9776533735650759,1.9776533735650759
0.6625000000000001,0.0,0.9999999999999999,-4.440892098500626e-15,1.8795942563050403,1.8795942563050403
0.675,0.0,1.0,-4.440892098500626e-15,1.8057316160788304,1.8057316160788304
0.6875,0.0,1.0,-0.0,1.7301987091991506,1.7301987091991506
0.7000000000000001,0.0,1.0,-0.0,1.652128556831336,1.652128556831336
0.7125,0.0,1.0,-0.0,1.5782253940300777,1.5782253940300777
0.7250000000000001,0.0,1.0,-0.0,1.5218919610499455,1.5218919610499455
0.7375,0.0,1.0,-0.0,1.4434080456607319,1.4434080456607319
0.75,0.0,1.0,-0.0,1.3953038256339028,1.3953038256339028
0.7625000000000001,0.0,1.0,-0.0,1.3441791072555986,1.3441791072555986
0.775,0.0,1.0,-0.0,1.303900439635271,1.303900439635271
0.7875000000000001,0.0,1.0,-0.0,1.2389045639160798,1.2389045639160798
0.8,0.0,1.0,-0.0,1.1677070031762682,1.1677070031762682
0.8125,0.0,1.0,-0.0,1.148784685399427,1.148784685399427
0.8250000000000001,0.0,1.0,-0.0,1.1215999249445758,1.1215999249445758
0.8375,0.0,1.0,-0.0,1.0659186676662387,1.0659186676662387
0.8500000000000001,0.0,1.0,-0.0,1.0383976630434262,1.0383976630434262
0.8625,0.0,1.0,4.440892098500626e-15,0.9885235465660287,0.9885235465660287
