actual,probability,non_churn,churn,cum_churn,cum_non_churn,ks
1,0.9996677179825842,0,1,0.05,0.0,0.05
1,0.9996519451119218,0,1,0.1,0.0,0.1
1,0.9996519451119218,0,1,0.15,0.0,0.15
1,0.9996263056024621,0,1,0.2,0.0,0.2
1,0.9995474590340813,0,1,0.25,0.0,0.25
1,0.9994255999800731,0,1,0.3,0.0,0.3
1,0.9993771337805177,0,1,0.35,0.0,0.35
1,0.9980257113032284,0,1,0.4,0.0,0.4
1,0.9955463151548345,0,1,0.45,0.0,0.45
1,0.9933361434952578,0,1,0.5,0.0,0.5
1,0.9921454674325666,0,1,0.55,0.0,0.55
1,0.9917019706899507,0,1,0.6,0.0,0.6
1,0.9901485432975388,0,1,0.65,0.0,0.65
1,0.9730417136994854,0,1,0.7,0.0,0.7
1,0.9700509685502904,0,1,0.75,0.0,0.75
0,0.9441018869762411,1,0,0.75,0.0005428881650380022,0.749457111834962
1,0.9095909784036529,0,1,0.8,0.0005428881650380022,0.799457111834962
1,0.9095909784036529,0,1,0.85,0.0005428881650380022,0.849457111834962
0,0.8727535171219636,1,0,0.85,0.0010857763300760044,0.848914223669924
1,0.8618618851958084,0,1,0.9,0.0010857763300760044,0.898914223669924
0,0.8574073630629319,1,0,0.9,0.0016286644951140066,0.898371335504886
0,0.6040427631375911,1,0,0.9,0.002171552660152009,0.897828447339848
1,0.5159553835284677,0,1,0.95,0.002171552660152009,0.947828447339848
0,0.5110565434655648,1,0,0.95,0.0027144408251900108,0.9472855591748099
1,0.5081522689689916,0,1,1.0,0.0027144408251900108,0.99728555917481
0,0.26768483270029925,1,0,1.0,0.003257328990228013,0.996742671009772
0,0.24305786139786864,1,0,1.0,0.003800217155266015,0.996199782844734
0,0.17565513379607836,1,0,1.0,0.004343105320304018,0.995656894679696
0,0.17471053357521205,1,0,1.0,0.004885993485342019,0.995114006514658
0,0.11363914016253622,1,0,1.0,0.0054288816503800215,0.99457111834962
0,0.10896492734813525,1,0,1.0,0.005971769815418024,0.994028230184582
0,0.10883992734813525,1,0,1.0,0.006514657980456026,0.993485342019544
0,0.1079883451528935,1,0,1.0,0.007057546145494028,0.992942453854506
0,0.10652298618620742,1,0,1.0,0.00760043431053203,0.992399565689468
0,0.10050380638093151,1,0,1.0,0.008143322475570033,0.99185667752443
0,0.09825441757413919,1,0,1.0,0.008686210640608035,0.991313789359392
0,0.09163990709755454,1,0,1.0,0.009229098805646038,0.990770901194354
0,0.09095436796583717,1,0,1.0,0.009771986970684038,0.990228013029316
0,0.0795109025633947,1,0,1.0,0.01031487513572204,0.989685124864278
0,0.06743394724529866,1,0,1.0,0.010857763300760043,0.98914223669924
0,0.042063445305124875,1,0,1.0,0.011400651465798045,0.988599348534202
0,0.03748213602702768,1,0,1.0,0.011943539630836048,0.988056460369164
0,0.0259254369677909,1,0,1.0,0.01248642779587405,0.987513572204126
0,0.020814151933551153,1,0,1.0,0.013029315960912053,0.9869706840390879
0,0.020175463867231506,1,0,1.0,0.013572204125950055,0.9864277958740499
0,0.016413084983680302,1,0,1.0,0.014115092290988056,0.9858849077090119
0,0.01586163893686479,1,0,1.0,0.014657980456026058,0.9853420195439739
0,0.01584169474892292,1,0,1.0,0.01520086862106406,0.9847991313789359
0,0.015243477985413272,1,0,1.0,0.015743756786102063,0.9842562432138979
0,0.014870999070367607,1,0,1.0,0.016286644951140065,0.9837133550488599
